topic_id,topic,band,level,question,answer,source
fractions-decimals,Fractions & Decimals,6-7,easy,What is 1/2 + 1/4?,3/4,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,easy,Write 0.75 as a fraction in lowest terms.,3/4,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,easy,Which is greater: 2/3 or 3/5?,2/3,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,medium,"A ribbon is 4.5 m long. If 1.8 m is cut off, how much ribbon remains?",2.7 m,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,medium,Simplify: 3/4 × 8/9,2/3,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,medium,"Arrange in ascending order: 0.3, 1/4, 0.35","1/4, 0.3, 0.35",reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,challenge,A tank is 1/4 full. After adding 30 litres of water it becomes 3/4 full. What is the capacity of the tank?,60 litres,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,challenge,What is 2.4 ÷ 0.06?,40,reviewed_generated
fractions-decimals,Fractions & Decimals,6-7,challenge,A student reads 1/3 of a book on Monday and 1/4 of it on Tuesday. What fraction of the book is left?,5/12,reviewed_generated
integers,Integers,6-7,easy,What is (−7) + 12?,5,reviewed_generated
integers,Integers,6-7,easy,The temperature falls from 4°C to −3°C. By how many degrees did it fall?,7 degrees,reviewed_generated
integers,Integers,6-7,easy,What is (−6) × (−3)?,18,reviewed_generated
integers,Integers,6-7,medium,Find the value of (−15) + 8 − (−7).,0,reviewed_generated
integers,Integers,6-7,medium,A submarine is at −45 m. It rises 18 m. What is its new position?,−27 m,reviewed_generated
integers,Integers,6-7,medium,What is (−48) ÷ 6 − (−2)?,−6,reviewed_generated
integers,Integers,6-7,challenge,"In a quiz, each correct answer scores +5 and each wrong answer scores −2. A student answers 12 questions: 8 correct and 4 wrong. What is the score?",32,reviewed_generated
integers,Integers,6-7,challenge,What is the sum of all integers from −10 to 12?,23,reviewed_generated
integers,Integers,6-7,challenge,The product of three integers is −24. Two of them are −2 and 3. What is the third?,4,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,easy,Simplify the ratio 12 : 18.,2 : 3,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,easy,Three identical notebooks weigh 450 g in total. What does one notebook weigh?,150 g,reviewed_generated
ratio-proportion,Ratio & Proportion,6-7,easy,Divide 20 sweets between two friends in the ratio 2 : 3. How many does each get?,8 and 12,reviewed_generated
